loop time, gbuffer time, shadow time, direct time ,hiz time, ssr time
709363, 657566, 50014, 22, 598, 136
36205, 611, 43, 10, 209, 8
52951, 688, 42, 10, 96, 7
51431, 589, 41, 10, 93, 8
41673, 549, 46, 10, 89, 7
8648, 543, 40, 9, 87, 7
9000, 526, 40, 9, 95, 7
9105, 523, 38, 9, 91, 7
8396, 508, 38, 9, 88, 7
8633, 503, 43, 9, 112, 7
8746, 507, 38, 9, 90, 7
8703, 624, 37, 9, 83, 7
9259, 505, 37, 9, 83, 7
10007, 550, 37, 9, 83, 6
7127, 517, 40, 10, 85, 7
8341, 512, 39, 9, 86, 7
9406, 537, 39, 9, 86, 7
8216, 514, 38, 9, 86, 7
8586, 513, 39, 9, 85, 7
8341, 525, 39, 9, 86, 7
8534, 520, 39, 10, 87, 7
8312, 512, 37, 9, 83, 6
8339, 509, 37, 9, 84, 7
8624, 511, 38, 9, 83, 6
8755, 508, 37, 9, 83, 6
8218, 512, 38, 9, 84, 7
8308, 514, 37, 9, 83, 6
6188, 510, 37, 9, 83, 6
6632, 511, 37, 9, 83, 6
6075, 520, 38, 9, 84, 7
6277, 516, 37, 9, 83, 6
6552, 545, 37, 9, 83, 6
6067, 538, 36, 9, 81, 6
6166, 508, 37, 9, 82, 7
6226, 529, 36, 9, 82, 6
6093, 503, 36, 9, 82, 6
6594, 499, 89, 9, 109, 6
6042, 632, 36, 9, 82, 6
6259, 513, 36, 9, 82, 6
6146, 562, 36, 9, 82, 6
5917, 503, 35, 9, 81, 6
6073, 501, 35, 9, 82, 6
6356, 527, 35, 9, 81, 6
5913, 505, 36, 9, 81, 6
6645, 500, 36, 9, 81, 6
6087, 534, 70, 9, 81, 6
6070, 510, 36, 9, 81, 6
6014, 511, 37, 9, 82, 7
5984, 508, 37, 9, 81, 6
6245, 504, 37, 9, 81, 6
6304, 540, 36, 9, 82, 6
5810, 500, 36, 9, 81, 6
6262, 502, 36, 9, 81, 6
6335, 570, 36, 9, 81, 6
6247, 501, 36, 9, 81, 6
6165, 503, 36, 9, 82, 6
5936, 520, 49, 9, 132, 22
6127, 503, 36, 9, 81, 6
6006, 503, 36, 9, 81, 6
5931, 501, 36, 9, 81, 6
6151, 497, 35, 8, 80, 6
6158, 589, 35, 9, 81, 6
6022, 497, 35, 9, 81, 6
6377, 502, 36, 9, 81, 6
5743, 532, 36, 9, 81, 6
6010, 509, 36, 9, 81, 6
6245, 500, 38, 9, 111, 6
5808, 660, 36, 9, 81, 6
6085, 506, 36, 9, 81, 6
6693, 610, 36, 9, 81, 6
5656, 501, 36, 9, 81, 6
6091, 498, 35, 9, 81, 6
6146, 592, 35, 9, 81, 6
5893, 496, 36, 9, 81, 6
6651, 496, 35, 9, 81, 6
5793, 500, 36, 9, 81, 6
6362, 497, 35, 9, 81, 6
6177, 500, 35, 9, 81, 6
6139, 509, 37, 9, 81, 6
6184, 499, 36, 9, 81, 6
6147, 563, 36, 9, 81, 6
5772, 572, 37, 9, 82, 6
6212, 501, 36, 9, 81, 6
6603, 572, 36, 9, 81, 6
5699, 503, 36, 9, 81, 6
6478, 503, 36, 9, 81, 6
6026, 501, 36, 9, 82, 6
6233, 501, 36, 9, 81, 6
6063, 561, 36, 9, 81, 6
5967, 499, 36, 9, 81, 6
6084, 495, 35, 9, 81, 6
6457, 558, 36, 9, 81, 6
5854, 498, 36, 9, 81, 6
6378, 498, 36, 9, 81, 6
5840, 528, 36, 9, 85, 6
6060, 496, 36, 9, 82, 6
6172, 495, 36, 9, 81, 6
5930, 536, 37, 9, 113, 6
6205, 502, 36, 9, 85, 7
6205, 498, 36, 9, 81, 6
5858, 553, 36, 9, 82, 6
6206, 497, 35, 9, 81, 6
6235, 579, 36, 9, 82, 6
5898, 495, 36, 9, 81, 6
6497, 496, 36, 9, 81, 6
6188, 498, 36, 9, 81, 6
5986, 495, 35, 9, 81, 6
6149, 494, 36, 9, 81, 6
6077, 496, 36, 9, 81, 6
6189, 496, 35, 9, 81, 6
6443, 652, 35, 9, 82, 6
6100, 537, 37, 9, 82, 7
6663, 496, 35, 9, 81, 6
5743, 494, 35, 9, 81, 6
5991, 570, 36, 9, 83, 6
6272, 500, 36, 9, 81, 6
6022, 634, 36, 9, 81, 6
6129, 500, 35, 9, 81, 6
6229, 496, 36, 9, 81, 6
5939, 496, 36, 9, 81, 6
5977, 498, 36, 9, 81, 6
6573, 553, 37, 9, 82, 7
5823, 496, 36, 9, 81, 6
6453, 501, 37, 9, 82, 6
6084, 500, 40, 9, 81, 6
6068, 495, 36, 9, 82, 6
6063, 503, 36, 9, 81, 6
6266, 641, 36, 9, 81, 6
