loop time, gbuffer time, shadow time, direct time ,hiz time, ssr time
513439, 507752, 0, 40, 0, 0
19891, 733, 0, 14, 0, 0
29053, 653, 0, 12, 0, 0
27718, 587, 0, 13, 0, 0
28753, 555, 0, 12, 0, 0
27878, 620, 0, 11, 0, 0
26902, 568, 0, 11, 0, 0
28233, 532, 0, 10, 0, 0
28451, 566, 0, 10, 0, 0
26876, 547, 0, 11, 0, 0
28292, 535, 0, 10, 0, 0
28461, 554, 0, 10, 0, 0
26899, 529, 0, 10, 0, 0
6986, 585, 0, 10, 0, 0
1366, 486, 0, 10, 0, 0
1945, 563, 0, 24, 0, 0
1153, 545, 0, 10, 0, 0
1111, 487, 0, 10, 0, 0
1110, 484, 0, 9, 0, 0
1141, 486, 0, 9, 0, 0
1141, 495, 0, 9, 0, 0
1127, 482, 0, 9, 0, 0
1350, 522, 0, 9, 0, 0
1128, 483, 0, 9, 0, 0
1112, 483, 0, 9, 0, 0
1122, 482, 0, 9, 0, 0
1123, 482, 0, 9, 0, 0
1128, 481, 0, 9, 0, 0
1535, 513, 0, 9, 0, 0
1125, 481, 0, 9, 0, 0
1111, 484, 0, 9, 0, 0
1123, 481, 0, 10, 0, 0
1127, 480, 0, 9, 0, 0
1123, 485, 0, 9, 0, 0
1123, 481, 0, 9, 0, 0
1118, 480, 0, 9, 0, 0
1119, 482, 0, 9, 0, 0
1387, 481, 0, 9, 0, 0
1132, 480, 0, 9, 0, 0
1122, 484, 0, 9, 0, 0
1114, 517, 0, 9, 0, 0
1134, 554, 0, 18, 0, 0
1112, 554, 0, 12, 0, 0
1530, 487, 0, 11, 0, 0
1124, 485, 0, 10, 0, 0
1122, 480, 0, 10, 0, 0
1123, 485, 0, 10, 0, 0
1134, 511, 0, 10, 0, 0
1112, 516, 0, 9, 0, 0
1123, 480, 0, 9, 0, 0
1127, 479, 0, 14, 0, 0
1384, 479, 0, 9, 0, 0
1122, 478, 0, 9, 0, 0
1114, 478, 0, 9, 0, 0
1121, 479, 0, 9, 0, 0
1123, 479, 0, 9, 0, 0
1121, 481, 0, 9, 0, 0
1524, 561, 0, 10, 0, 0
1131, 487, 0, 10, 0, 0
1129, 480, 0, 9, 0, 0
1123, 480, 0, 9, 0, 0
1113, 522, 0, 9, 0, 0
1118, 481, 0, 9, 0, 0
1110, 479, 0, 9, 0, 0
1125, 512, 0, 9, 0, 0
