loop time, gbuffer time, shadow time, direct time ,hiz time, ssr time
145651, 140692, 0, 0, 0, 0
41956, 583, 0, 0, 0, 0
10530, 875, 0, 0, 0, 0
26627, 750, 0, 0, 0, 0
30292, 616, 0, 0, 0, 0
27919, 578, 0, 0, 0, 0
25503, 547, 0, 0, 0, 0
27185, 596, 0, 0, 0, 0
27364, 583, 0, 0, 0, 0
25999, 548, 0, 0, 0, 0
27568, 610, 0, 0, 0, 0
6961, 568, 0, 0, 0, 0
1324, 524, 0, 0, 0, 0
1374, 507, 0, 0, 0, 0
1106, 512, 0, 0, 0, 0
1101, 476, 0, 0, 0, 0
1106, 614, 0, 0, 0, 0
1091, 502, 0, 0, 0, 0
1134, 527, 0, 0, 0, 0
1101, 488, 0, 0, 0, 0
1093, 484, 0, 0, 0, 0
1104, 483, 0, 0, 0, 0
1483, 486, 0, 0, 0, 0
1339, 484, 0, 0, 0, 0
1104, 481, 0, 0, 0, 0
1096, 484, 0, 0, 0, 0
1095, 480, 0, 0, 0, 0
1116, 576, 0, 0, 0, 0
1369, 564, 0, 0, 0, 0
1093, 483, 0, 0, 0, 0
1104, 480, 0, 0, 0, 0
1103, 547, 0, 0, 0, 0
1097, 486, 0, 0, 0, 0
1086, 479, 0, 0, 0, 0
1084, 482, 0, 0, 0, 0
1091, 593, 0, 0, 0, 0
1059, 520, 0, 0, 0, 0
1507, 484, 0, 0, 0, 0
1095, 484, 0, 0, 0, 0
1104, 490, 0, 0, 0, 0
1085, 515, 0, 0, 0, 0
1089, 483, 0, 0, 0, 0
1355, 484, 0, 0, 0, 0
1093, 481, 0, 0, 0, 0
1087, 484, 0, 0, 0, 0
1099, 483, 0, 0, 0, 0
1087, 487, 0, 0, 0, 0
1091, 479, 0, 0, 0, 0
1085, 485, 0, 0, 0, 0
1092, 490, 0, 0, 0, 0
1094, 485, 0, 0, 0, 0
1498, 485, 0, 0, 0, 0
1390, 553, 0, 0, 0, 0
1103, 494, 0, 0, 0, 0
1095, 485, 0, 0, 0, 0
1084, 487, 0, 0, 0, 0
1088, 618, 0, 0, 0, 0
1362, 485, 0, 0, 0, 0
1099, 487, 0, 0, 0, 0
1099, 485, 0, 0, 0, 0
1104, 492, 0, 0, 0, 0
1081, 483, 0, 0, 0, 0
1091, 487, 0, 0, 0, 0
1104, 544, 0, 0, 0, 0
1098, 483, 0, 0, 0, 0
1089, 483, 0, 0, 0, 0
1477, 514, 0, 0, 0, 0
1110, 494, 0, 0, 0, 0
1142, 554, 0, 0, 0, 0
1092, 484, 0, 0, 0, 0
1133, 579, 0, 0, 0, 0
1364, 486, 0, 0, 0, 0
1109, 486, 0, 0, 0, 0
1089, 550, 0, 0, 0, 0
1092, 487, 0, 0, 0, 0
1112, 518, 0, 0, 0, 0
1096, 486, 0, 0, 0, 0
1121, 542, 0, 0, 0, 0
1094, 483, 0, 0, 0, 0
