loop time, gbuffer time, shadow time, direct time ,hiz time, ssr time
470900, 409255, 59845, 24, 622, 24
17802, 620, 41, 9, 90, 7
34317, 710, 37, 9, 90, 6
34589, 580, 37, 9, 89, 7
34233, 542, 42, 9, 83, 6
34221, 547, 37, 9, 83, 7
39829, 531, 37, 9, 90, 7
35422, 569, 116, 24, 148, 6
34091, 622, 36, 9, 86, 6
20238, 529, 41, 9, 80, 6
2955, 524, 35, 8, 87, 7
2310, 521, 35, 8, 79, 6
2353, 555, 34, 8, 79, 6
3486, 520, 34, 8, 79, 6
1227, 536, 38, 9, 82, 7
2305, 533, 36, 9, 83, 6
2759, 553, 36, 9, 83, 6
2543, 531, 36, 9, 82, 6
2319, 531, 35, 8, 82, 6
2308, 534, 35, 8, 82, 6
2331, 532, 35, 8, 82, 6
2305, 523, 34, 8, 79, 6
2390, 580, 34, 8, 78, 6
2834, 518, 34, 8, 79, 6
2570, 520, 34, 8, 79, 6
2317, 556, 34, 8, 78, 6
2328, 520, 34, 8, 79, 6
2295, 519, 33, 8, 78, 6
2318, 521, 34, 8, 78, 6
2314, 523, 34, 8, 79, 6
2854, 522, 33, 8, 78, 6
2547, 521, 33, 8, 78, 6
2333, 521, 33, 8, 78, 6
2322, 518, 33, 8, 78, 6
2338, 522, 33, 8, 78, 6
2304, 555, 34, 8, 78, 6
2330, 520, 33, 8, 78, 6
2856, 514, 33, 8, 78, 6
2568, 518, 34, 8, 79, 6
2318, 520, 34, 8, 79, 6
2326, 521, 33, 8, 79, 6
2300, 521, 33, 8, 78, 6
2325, 591, 33, 8, 79, 6
2310, 520, 33, 8, 79, 6
2995, 516, 33, 8, 79, 6
2298, 520, 34, 8, 79, 6
2339, 514, 33, 8, 79, 6
2304, 516, 33, 8, 78, 6
2362, 515, 34, 8, 78, 6
2296, 520, 33, 8, 77, 6
2603, 522, 34, 8, 78, 6
2828, 516, 34, 8, 78, 6
2292, 517, 34, 8, 79, 6
2268, 521, 33, 8, 78, 6
2293, 519, 33, 8, 78, 6
2274, 515, 33, 8, 79, 6
2281, 522, 34, 8, 79, 6
2506, 521, 34, 8, 79, 6
2829, 519, 33, 8, 79, 6
2288, 599, 34, 8, 78, 6
2292, 549, 33, 8, 108, 6
2250, 651, 34, 8, 80, 6
2257, 546, 33, 8, 79, 6
2222, 548, 33, 8, 79, 6
2576, 547, 33, 8, 78, 6
2786, 550, 33, 8, 79, 6
2292, 514, 33, 8, 78, 6
2267, 518, 33, 8, 79, 6
2279, 514, 33, 8, 126, 6
2265, 518, 34, 8, 78, 6
2294, 555, 34, 8, 78, 6
2525, 516, 33, 8, 79, 6
2813, 520, 34, 8, 79, 6
2268, 554, 34, 8, 79, 6
2269, 514, 33, 8, 79, 6
2268, 519, 33, 8, 79, 6
2297, 513, 33, 8, 79, 6
2264, 516, 34, 8, 79, 6
2546, 517, 34, 8, 79, 6
2780, 529, 34, 8, 79, 6
1981, 524, 34, 8, 79, 6
1961, 526, 34, 8, 79, 6
1960, 524, 34, 8, 79, 6
1940, 520, 34, 8, 79, 6
1916, 523, 34, 8, 78, 6
1887, 522, 33, 8, 78, 6
1913, 526, 33, 8, 79, 6
2330, 526, 33, 8, 79, 6
2084, 522, 34, 8, 78, 6
1895, 524, 33, 8, 79, 6
1916, 520, 33, 8, 78, 6
1877, 524, 33, 8, 79, 6
1943, 563, 34, 8, 79, 6
1864, 520, 33, 8, 78, 6
1880, 524, 34, 8, 79, 6
2069, 517, 34, 8, 78, 6
2248, 555, 34, 8, 79, 6
1867, 520, 33, 8, 78, 6
1879, 519, 33, 8, 78, 6
1862, 516, 34, 8, 78, 6
1884, 519, 34, 8, 78, 6
1857, 520, 34, 8, 78, 6
1879, 517, 33, 8, 78, 6
1855, 590, 34, 8, 79, 6
2217, 513, 34, 8, 79, 6
2018, 517, 33, 8, 79, 6
1878, 519, 33, 8, 78, 6
1855, 521, 34, 8, 78, 6
1859, 550, 33, 8, 78, 6
1841, 517, 33, 8, 79, 6
1870, 519, 34, 8, 79, 6
1833, 515, 34, 8, 78, 6
1868, 519, 34, 8, 79, 6
2392, 518, 34, 8, 78, 6
1847, 513, 34, 8, 79, 6
1850, 517, 34, 8, 79, 6
1856, 516, 33, 8, 79, 6
1840, 518, 34, 8, 79, 6
1866, 515, 33, 8, 78, 6
1838, 518, 34, 8, 78, 6
1868, 520, 34, 8, 79, 6
2059, 564, 34, 8, 79, 6
2256, 515, 33, 8, 78, 6
1850, 518, 33, 8, 78, 6
1859, 511, 33, 8, 78, 6
1837, 582, 34, 8, 78, 6
1874, 515, 34, 8, 78, 6
1841, 524, 34, 8, 82, 6
1863, 515, 33, 8, 78, 6
1836, 513, 33, 8, 79, 6
2211, 521, 35, 8, 79, 6
2016, 513, 33, 8, 78, 6
1850, 519, 34, 8, 79, 6
1838, 513, 34, 8, 78, 6
1873, 514, 34, 8, 79, 6
1842, 518, 34, 8, 78, 6
1856, 513, 33, 8, 79, 6
1843, 518, 33, 8, 78, 6
1877, 591, 33, 8, 78, 6
2251, 515, 33, 8, 79, 6
