loop time, gbuffer time, shadow time, direct time ,hiz time, ssr time
2518298, 2398106, 118788, 28, 721, 24
21580, 830, 45, 10, 95, 8
40023, 928, 41, 10, 96, 7
39637, 862, 41, 10, 95, 8
39171, 853, 46, 10, 87, 7
39539, 855, 40, 9, 86, 7
39071, 852, 41, 10, 95, 7
38234, 925, 58, 10, 108, 7
17880, 915, 41, 9, 91, 7
2536, 513, 45, 9, 85, 7
2323, 511, 38, 9, 91, 7
2825, 515, 39, 9, 122, 7
2526, 513, 38, 9, 83, 7
3494, 513, 37, 9, 83, 6
1091, 522, 41, 9, 85, 7
2276, 520, 39, 9, 87, 7
2306, 590, 40, 9, 87, 7
2269, 518, 39, 9, 86, 7
2838, 556, 39, 9, 87, 7
2515, 519, 38, 9, 86, 7
2294, 520, 39, 9, 86, 7
2263, 516, 37, 9, 83, 7
2304, 512, 38, 9, 83, 6
2281, 511, 37, 9, 83, 7
2543, 510, 37, 9, 83, 7
2796, 511, 38, 9, 83, 7
2287, 513, 38, 9, 83, 7
2293, 508, 38, 9, 83, 7
2312, 513, 38, 9, 83, 7
2270, 512, 37, 9, 82, 6
2304, 509, 37, 9, 83, 6
2516, 512, 38, 9, 83, 7
2818, 511, 37, 9, 83, 7
2276, 509, 38, 9, 83, 7
2317, 509, 37, 9, 83, 7
2273, 511, 37, 9, 83, 6
2290, 545, 38, 9, 83, 7
2278, 510, 37, 9, 83, 7
2541, 509, 37, 9, 82, 7
2790, 512, 38, 9, 83, 7
2329, 510, 37, 9, 83, 7
2283, 521, 37, 9, 84, 7
2296, 509, 37, 9, 83, 7
2275, 507, 38, 9, 83, 7
2309, 508, 38, 9, 83, 6
2502, 508, 38, 9, 82, 7
2810, 514, 38, 9, 83, 7
2274, 509, 38, 9, 83, 7
2313, 514, 37, 9, 83, 6
2266, 511, 37, 9, 83, 6
2293, 507, 37, 9, 82, 7
2248, 515, 37, 9, 83, 7
2484, 514, 37, 9, 83, 7
2742, 509, 38, 9, 83, 7
2269, 546, 37, 9, 83, 7
2231, 515, 37, 9, 83, 6
2252, 512, 38, 9, 82, 6
2235, 508, 37, 9, 83, 6
2254, 511, 37, 9, 83, 6
2477, 510, 37, 9, 83, 6
2763, 506, 38, 9, 83, 7
2243, 553, 38, 9, 83, 7
2255, 512, 37, 9, 83, 7
2240, 518, 38, 9, 83, 6
2264, 510, 37, 9, 83, 7
2245, 509, 37, 9, 83, 6
2509, 513, 37, 9, 83, 7
2738, 515, 38, 9, 83, 7
2254, 512, 38, 9, 83, 7
2265, 510, 38, 9, 83, 7
2258, 510, 37, 9, 83, 7
2237, 512, 37, 9, 83, 7
2262, 511, 37, 9, 83, 6
2250, 509, 37, 12, 83, 6
2795, 620, 38, 9, 83, 6
2463, 514, 37, 9, 82, 6
2256, 509, 37, 9, 83, 7
2234, 512, 37, 9, 83, 6
2262, 509, 37, 13, 144, 6
2244, 509, 37, 9, 83, 7
2095, 512, 37, 9, 83, 6
2130, 546, 38, 9, 83, 6
2166, 511, 38, 9, 83, 7
2092, 508, 38, 9, 83, 6
1943, 508, 37, 9, 83, 7
1866, 510, 37, 9, 83, 6
1885, 573, 39, 9, 84, 7
1852, 510, 38, 9, 83, 6
1882, 512, 38, 9, 82, 7
1856, 510, 37, 9, 83, 7
2348, 551, 38, 9, 83, 6
2040, 508, 37, 9, 83, 6
1884, 507, 38, 9, 83, 7
1832, 512, 37, 9, 82, 6
1847, 578, 38, 9, 84, 6
1823, 514, 38, 9, 83, 7
1842, 516, 38, 9, 83, 7
1839, 514, 38, 9, 83, 7
2045, 544, 39, 9, 83, 7
2041, 507, 38, 9, 84, 7
2017, 512, 38, 9, 83, 7
1822, 547, 39, 9, 83, 7
1852, 509, 37, 9, 82, 6
1821, 515, 37, 9, 83, 7
1835, 512, 37, 9, 83, 6
1819, 573, 38, 9, 83, 7
1868, 512, 37, 9, 83, 7
1982, 510, 38, 9, 83, 7
2045, 514, 37, 9, 83, 6
1978, 509, 38, 9, 83, 7
1841, 509, 37, 9, 84, 7
1814, 514, 38, 9, 83, 6
1837, 514, 38, 9, 82, 7
1823, 517, 38, 9, 82, 6
1848, 518, 38, 9, 83, 7
1804, 518, 38, 9, 83, 7
2228, 546, 38, 9, 83, 7
1988, 515, 38, 9, 83, 7
1833, 514, 38, 9, 83, 7
1809, 511, 37, 9, 87, 7
1830, 513, 37, 9, 82, 7
1804, 504, 37, 9, 83, 6
1825, 517, 66, 23, 180, 7
1814, 535, 39, 9, 84, 7
1833, 508, 38, 9, 83, 7
2215, 550, 38, 9, 83, 7
1995, 543, 37, 9, 83, 7
1810, 510, 37, 9, 84, 6
1964, 514, 38, 9, 83, 6
1863, 509, 38, 9, 83, 6
1833, 557, 37, 9, 83, 7
1811, 515, 37, 9, 83, 7
1865, 566, 37, 9, 83, 7
1965, 515, 37, 9, 83, 6
2043, 552, 38, 9, 83, 7
1980, 515, 37, 9, 83, 7
1840, 548, 38, 9, 82, 7
1814, 512, 37, 9, 83, 6
1827, 509, 37, 9, 82, 6
1809, 509, 37, 9, 83, 6
1840, 516, 37, 9, 83, 6
1811, 511, 37, 9, 83, 6
2027, 548, 38, 9, 83, 6
2018, 511, 37, 9, 83, 7
1993, 511, 75, 25, 163, 7
1815, 517, 37, 9, 83, 6
1826, 507, 37, 9, 82, 7
