loop time, gbuffer time, shadow time, direct time ,hiz time, ssr time
544954, 488449, 55734, 24, 0, 30
34151, 582, 41, 9, 0, 9
50316, 587, 37, 9, 0, 9
50117, 645, 74, 9, 0, 9
49977, 564, 39, 9, 0, 9
50330, 625, 37, 9, 0, 9
41481, 680, 88, 25, 0, 26
7881, 584, 96, 9, 0, 25
7813, 605, 35, 9, 0, 9
7652, 608, 36, 9, 0, 9
7857, 538, 35, 8, 0, 8
7751, 631, 34, 8, 0, 8
7689, 515, 34, 8, 0, 8
7878, 546, 70, 8, 0, 8
7711, 515, 34, 8, 0, 8
7851, 547, 34, 8, 0, 8
7455, 535, 35, 8, 0, 8
7833, 543, 34, 8, 0, 8
7888, 583, 34, 8, 0, 8
7652, 542, 34, 8, 0, 8
7740, 524, 34, 8, 0, 8
7517, 511, 34, 8, 0, 8
7758, 512, 34, 8, 0, 8
7749, 515, 34, 8, 0, 8
7758, 530, 34, 8, 0, 8
7309, 514, 34, 8, 0, 8
7844, 581, 34, 8, 0, 8
7499, 566, 55, 26, 0, 31
7557, 514, 34, 8, 0, 8
7762, 547, 34, 8, 0, 8
7540, 581, 34, 8, 0, 8
7792, 507, 34, 8, 0, 8
6224, 511, 34, 8, 0, 8
5978, 636, 34, 8, 0, 8
5651, 514, 34, 8, 0, 8
5731, 513, 34, 8, 0, 8
5860, 578, 34, 8, 0, 8
5467, 512, 34, 8, 0, 8
5717, 513, 33, 8, 0, 8
5702, 578, 34, 8, 0, 8
5375, 519, 34, 8, 0, 8
5710, 515, 34, 8, 0, 8
5747, 580, 34, 8, 0, 8
5404, 511, 34, 8, 0, 8
5623, 506, 33, 8, 0, 8
5619, 622, 34, 8, 0, 8
5341, 514, 34, 8, 0, 8
5584, 513, 34, 8, 0, 8
5693, 580, 34, 8, 0, 8
5323, 511, 34, 8, 0, 8
5591, 512, 34, 8, 0, 8
5738, 578, 34, 8, 0, 8
5376, 511, 34, 8, 0, 8
5533, 508, 34, 8, 0, 8
5672, 569, 34, 8, 0, 8
5364, 507, 34, 8, 0, 8
5502, 510, 33, 8, 0, 8
5774, 578, 34, 8, 0, 8
5314, 511, 34, 8, 0, 8
5556, 506, 34, 8, 0, 8
5668, 571, 34, 8, 0, 8
5299, 508, 34, 8, 0, 8
5547, 506, 33, 8, 0, 8
5669, 573, 34, 8, 0, 8
5352, 509, 34, 8, 0, 8
5509, 508, 33, 8, 0, 8
5617, 590, 34, 8, 0, 8
5330, 507, 33, 8, 0, 8
5490, 505, 33, 8, 0, 8
5704, 571, 34, 8, 0, 8
5342, 507, 34, 8, 0, 8
5453, 507, 34, 8, 0, 8
5685, 573, 34, 8, 0, 8
5313, 508, 34, 8, 0, 8
5510, 513, 34, 8, 0, 8
5734, 577, 34, 8, 0, 8
5323, 506, 33, 8, 0, 8
5571, 511, 34, 8, 0, 8
17343, 571, 33, 8, 0, 8
9794, 514, 33, 8, 0, 8
5848, 655, 94, 8, 0, 22
5737, 579, 34, 8, 0, 8
5310, 512, 34, 8, 0, 8
5601, 506, 34, 8, 0, 8
5752, 574, 34, 8, 0, 8
5385, 510, 34, 8, 0, 8
5576, 510, 34, 8, 0, 8
5716, 579, 34, 8, 0, 8
5378, 512, 34, 8, 0, 8
5582, 516, 34, 8, 0, 8
5770, 629, 34, 8, 0, 8
5399, 516, 34, 8, 0, 8
5648, 509, 34, 8, 0, 8
5859, 572, 34, 8, 0, 8
5341, 520, 34, 8, 0, 8
5572, 514, 33, 8, 0, 8
5793, 569, 34, 8, 0, 8
5392, 508, 34, 8, 0, 8
5553, 512, 33, 8, 0, 8
5770, 618, 34, 8, 0, 8
5440, 507, 34, 8, 0, 8
5600, 512, 34, 8, 0, 8
5680, 581, 34, 8, 0, 8
5318, 513, 34, 8, 0, 8
5586, 511, 34, 8, 0, 8
5777, 618, 34, 8, 0, 8
5282, 509, 33, 8, 0, 8
5587, 515, 34, 8, 0, 8
5764, 591, 34, 8, 0, 8
5442, 505, 34, 8, 0, 8
5545, 514, 34, 8, 0, 8
5741, 576, 34, 8, 0, 8
5413, 545, 33, 8, 0, 8
5659, 513, 33, 8, 0, 8
5780, 576, 34, 8, 0, 8
5432, 556, 33, 8, 0, 8
5526, 511, 33, 8, 0, 8
5660, 587, 34, 8, 0, 8
5413, 517, 34, 8, 0, 8
5617, 510, 34, 8, 0, 8
5728, 583, 34, 8, 0, 8
5332, 507, 34, 8, 0, 8
5702, 510, 34, 8, 0, 8
5667, 577, 34, 8, 0, 8
5418, 509, 34, 8, 0, 8
5550, 514, 34, 8, 0, 8
5798, 575, 33, 8, 0, 8
5381, 516, 34, 8, 0, 8
5599, 508, 33, 8, 0, 8
5718, 574, 33, 8, 0, 8
5454, 508, 34, 8, 0, 8
5511, 509, 34, 8, 0, 8
5740, 570, 33, 8, 0, 8
5326, 570, 33, 8, 0, 8
5587, 508, 34, 8, 0, 8
5679, 616, 33, 8, 0, 8
5294, 514, 33, 8, 0, 8
5602, 511, 33, 8, 0, 8
5838, 575, 33, 8, 0, 8
5367, 511, 34, 8, 0, 8
5558, 511, 34, 8, 0, 8
5753, 575, 33, 8, 0, 8
5342, 547, 36, 9, 0, 9
5634, 516, 35, 8, 0, 9
5753, 579, 35, 8, 0, 8
5267, 526, 36, 8, 0, 8
5498, 517, 34, 8, 0, 8
5708, 578, 34, 8, 0, 8
5405, 506, 34, 8, 0, 8
5528, 509, 34, 8, 0, 8
5814, 555, 34, 8, 0, 8
5297, 512, 34, 8, 0, 8
5499, 512, 34, 8, 0, 8
5747, 583, 34, 8, 0, 8
5306, 507, 33, 8, 0, 8
5704, 510, 34, 8, 0, 8
5697, 573, 34, 8, 0, 8
5305, 514, 34, 8, 0, 8
5490, 510, 37, 8, 0, 8
5703, 570, 34, 8, 0, 8
5431, 510, 34, 8, 0, 8
5484, 510, 33, 8, 0, 8
5749, 624, 34, 8, 0, 8
5372, 509, 34, 8, 0, 8
5562, 510, 34, 8, 0, 8
5795, 571, 34, 8, 0, 8
5302, 511, 34, 8, 0, 8
5501, 507, 33, 8, 0, 8
5662, 575, 33, 8, 0, 8
5418, 508, 34, 8, 0, 8
5560, 512, 34, 8, 0, 8
5868, 582, 34, 8, 0, 8
5398, 511, 34, 8, 0, 8
5566, 548, 33, 8, 0, 8
5715, 580, 34, 8, 0, 8
5479, 510, 34, 8, 0, 8
5584, 519, 34, 8, 0, 8
5650, 561, 34, 8, 0, 8
5332, 512, 34, 8, 0, 8
5675, 509, 34, 8, 0, 8
5689, 587, 34, 8, 0, 8
5284, 543, 34, 8, 0, 8
5586, 510, 34, 8, 0, 8
5724, 578, 33, 8, 0, 8
5315, 511, 34, 8, 0, 8
5560, 506, 33, 8, 0, 8
5729, 573, 33, 8, 0, 8
5399, 510, 34, 8, 0, 8
5655, 516, 33, 8, 0, 8
5682, 612, 34, 8, 0, 8
5331, 509, 33, 8, 0, 8
5633, 514, 33, 8, 0, 8
5725, 576, 33, 8, 0, 8
5362, 510, 34, 8, 0, 8
5550, 508, 37, 8, 0, 8
5773, 574, 33, 8, 0, 8
5315, 550, 33, 8, 0, 8
5514, 511, 34, 8, 0, 8
5794, 570, 34, 8, 0, 8
5397, 509, 34, 8, 0, 14
5619, 507, 34, 8, 0, 8
5715, 570, 33, 8, 0, 8
5405, 531, 48, 8, 0, 8
5562, 510, 33, 8, 0, 8
5664, 569, 33, 8, 0, 8
5361, 506, 33, 8, 0, 8
5534, 509, 34, 8, 0, 8
5689, 546, 34, 8, 0, 8
5319, 508, 34, 8, 0, 8
5596, 507, 34, 8, 0, 8
5814, 569, 34, 8, 0, 8
5454, 512, 34, 8, 0, 8
5489, 513, 34, 8, 0, 8
5821, 577, 34, 8, 0, 8
5286, 508, 34, 8, 0, 8
5575, 510, 34, 8, 0, 8
5801, 572, 34, 8, 0, 8
5268, 517, 34, 8, 0, 8
5554, 513, 34, 8, 0, 8
5743, 643, 34, 8, 0, 8
5358, 509, 34, 8, 0, 8
5593, 514, 34, 8, 0, 8
5722, 576, 33, 8, 0, 8
5404, 522, 34, 8, 0, 8
5642, 514, 34, 8, 0, 8
5679, 530, 34, 8, 0, 8
5388, 510, 34, 8, 0, 8
5546, 508, 34, 8, 0, 8
5694, 570, 33, 8, 0, 8
5316, 505, 34, 8, 0, 8
5544, 507, 36, 8, 0, 8
5626, 603, 33, 8, 0, 8
5487, 511, 34, 8, 0, 8
5673, 513, 34, 8, 0, 8
5740, 609, 34, 8, 0, 8
5334, 514, 34, 8, 0, 8
5556, 508, 34, 8, 0, 8
5713, 571, 34, 8, 0, 8
5358, 508, 34, 8, 0, 8
5657, 506, 34, 8, 0, 8
5850, 614, 34, 8, 0, 8
5320, 510, 34, 8, 0, 8
5598, 509, 34, 8, 0, 8
5676, 555, 34, 8, 0, 8
5297, 506, 34, 8, 0, 8
5516, 507, 34, 8, 0, 8
5713, 571, 34, 8, 0, 8
5300, 510, 34, 8, 0, 8
5585, 574, 34, 8, 0, 8
5741, 572, 34, 8, 0, 8
5444, 545, 34, 8, 0, 8
5641, 508, 34, 8, 0, 8
5686, 578, 34, 8, 0, 8
5371, 516, 34, 8, 0, 8
5545, 507, 34, 8, 0, 8
5728, 570, 34, 8, 0, 8
5452, 513, 33, 8, 0, 8
5556, 507, 34, 8, 0, 8
5697, 578, 34, 8, 0, 8
5446, 511, 34, 8, 0, 8
5585, 509, 33, 8, 0, 8
5745, 592, 34, 8, 0, 8
5355, 508, 33, 8, 0, 8
5549, 510, 34, 8, 0, 8
5721, 576, 34, 8, 0, 8
5407, 514, 34, 8, 0, 8
5569, 512, 33, 8, 0, 8
5822, 569, 33, 8, 0, 8
5330, 508, 34, 8, 0, 8
5510, 507, 34, 8, 0, 8
5761, 571, 34, 8, 0, 8
5326, 565, 34, 8, 0, 8
5600, 510, 34, 8, 0, 8
5753, 573, 34, 8, 0, 8
5342, 514, 33, 8, 0, 8
5642, 516, 34, 8, 0, 8
5819, 570, 37, 8, 0, 8
5391, 512, 33, 8, 0, 8
5619, 505, 33, 8, 0, 8
5818, 577, 33, 8, 0, 8
5339, 509, 34, 8, 0, 8
5616, 505, 33, 8, 0, 8
5757, 570, 33, 8, 0, 8
5359, 507, 33, 8, 0, 8
5640, 505, 34, 8, 0, 8
5725, 573, 33, 8, 0, 8
5395, 509, 34, 8, 0, 8
5600, 594, 33, 8, 0, 8
5722, 568, 33, 8, 0, 8
5345, 510, 33, 8, 0, 8
5602, 511, 33, 8, 0, 8
5777, 577, 33, 8, 0, 8
5330, 508, 33, 8, 0, 8
5591, 581, 34, 8, 0, 8
5680, 585, 33, 8, 0, 8
5447, 509, 33, 8, 0, 8
5554, 505, 33, 8, 0, 8
5767, 572, 34, 8, 0, 8
5288, 506, 33, 8, 0, 8
5534, 510, 34, 8, 0, 8
5744, 578, 33, 8, 0, 8
5384, 509, 34, 8, 0, 8
5589, 507, 33, 8, 0, 8
5773, 571, 34, 8, 0, 8
5405, 511, 34, 8, 0, 8
5637, 507, 33, 8, 0, 8
5779, 600, 34, 8, 0, 8
5388, 510, 35, 8, 0, 8
5547, 505, 34, 8, 0, 8
5762, 569, 37, 8, 0, 8
5492, 512, 34, 8, 0, 8
5584, 511, 34, 8, 0, 8
5749, 579, 34, 8, 0, 8
5352, 507, 34, 8, 0, 8
5499, 509, 34, 8, 0, 8
5778, 582, 34, 8, 0, 8
5312, 510, 34, 8, 0, 8
5693, 550, 34, 8, 0, 8
5758, 580, 34, 8, 0, 8
5308, 509, 34, 8, 0, 8
5601, 504, 34, 8, 0, 8
5714, 606, 67, 8, 0, 11
5327, 550, 37, 9, 0, 9
5505, 509, 35, 8, 0, 8
5786, 604, 35, 8, 0, 8
5409, 511, 35, 8, 0, 8
5573, 512, 35, 8, 0, 8
5748, 588, 34, 8, 0, 8
5368, 514, 34, 8, 0, 8
5558, 510, 34, 8, 0, 8
5731, 577, 34, 8, 0, 8
5326, 513, 34, 8, 0, 8
5611, 510, 33, 8, 0, 8
5667, 573, 34, 8, 0, 8
5400, 511, 34, 8, 0, 8
5569, 510, 33, 8, 0, 8
5747, 585, 34, 8, 0, 8
5407, 680, 64, 8, 0, 25
5564, 518, 34, 8, 0, 8
5735, 636, 34, 8, 0, 8
5341, 513, 34, 8, 0, 8
5495, 511, 34, 8, 0, 8
5690, 609, 34, 8, 0, 8
5313, 511, 34, 8, 0, 8
5522, 508, 34, 8, 0, 8
5746, 627, 34, 8, 0, 8
5407, 510, 34, 8, 0, 8
5563, 510, 34, 8, 0, 8
5699, 576, 34, 8, 0, 8
5289, 511, 34, 8, 0, 8
5550, 514, 34, 8, 0, 8
5739, 576, 34, 8, 0, 8
5415, 510, 34, 8, 0, 8
5386, 531, 40, 9, 0, 10
5732, 585, 38, 8, 0, 9
5329, 740, 60, 23, 0, 9
5638, 649, 35, 8, 0, 9
5884, 578, 35, 8, 0, 8
5357, 509, 35, 8, 0, 8
5682, 506, 35, 8, 0, 8
5651, 617, 34, 8, 0, 8
5368, 506, 34, 8, 0, 8
5628, 508, 34, 8, 0, 8
5641, 583, 34, 8, 0, 8
5409, 508, 35, 8, 0, 8
5516, 512, 34, 8, 0, 8
5804, 542, 34, 8, 0, 8
5467, 512, 34, 8, 0, 8
5542, 508, 34, 8, 0, 8
5739, 571, 34, 8, 0, 8
5389, 506, 34, 8, 0, 8
5575, 513, 34, 8, 0, 8
5783, 575, 35, 8, 0, 9
5351, 505, 34, 8, 0, 8
5630, 510, 34, 8, 0, 8
5747, 568, 34, 8, 0, 8
5311, 506, 34, 8, 0, 8
5563, 503, 34, 8, 0, 8
5772, 627, 34, 8, 0, 8
5353, 504, 34, 8, 0, 8
5533, 504, 34, 8, 0, 8
5686, 596, 34, 8, 0, 8
5268, 507, 34, 8, 0, 8
5509, 505, 34, 8, 0, 8
5709, 612, 34, 8, 0, 8
5408, 506, 34, 8, 0, 8
5489, 507, 34, 8, 0, 8
5737, 568, 34, 8, 0, 8
5247, 507, 34, 8, 0, 8
5539, 515, 34, 8, 0, 8
5771, 575, 35, 8, 0, 8
5361, 507, 34, 8, 0, 8
5516, 505, 34, 8, 0, 8
5839, 567, 34, 8, 0, 8
5355, 828, 39, 9, 0, 9
5484, 532, 36, 9, 0, 8
5611, 566, 35, 9, 0, 8
5360, 532, 35, 9, 0, 8
5646, 533, 35, 8, 0, 8
5693, 530, 76, 9, 0, 9
5321, 525, 35, 8, 0, 9
5583, 527, 35, 9, 0, 9
5634, 531, 35, 8, 0, 8
5458, 524, 35, 8, 0, 8
5552, 525, 34, 8, 0, 8
5637, 528, 35, 8, 0, 8
5338, 522, 35, 8, 0, 8
5576, 566, 35, 8, 0, 9
5690, 529, 35, 9, 0, 8
5389, 530, 35, 9, 0, 8
5640, 532, 36, 9, 0, 9
5761, 526, 36, 9, 0, 9
5339, 529, 35, 9, 0, 8
5570, 525, 35, 9, 0, 8
5612, 520, 35, 8, 0, 9
5377, 517, 34, 8, 0, 8
5554, 519, 34, 8, 0, 8
5690, 515, 34, 8, 0, 8
5388, 514, 34, 8, 0, 8
5527, 518, 34, 8, 0, 8
5805, 596, 35, 8, 0, 8
5291, 516, 35, 8, 0, 8
5609, 518, 34, 8, 0, 8
5817, 518, 34, 8, 0, 8
5391, 521, 35, 8, 0, 8
5554, 525, 35, 8, 0, 8
5643, 521, 34, 8, 0, 8
5381, 519, 35, 8, 0, 8
5605, 515, 35, 8, 0, 8
5640, 515, 35, 8, 0, 8
5354, 518, 35, 8, 0, 8
5526, 512, 34, 8, 0, 8
5707, 514, 34, 8, 0, 8
5377, 503, 34, 8, 0, 8
5517, 505, 34, 8, 0, 8
5793, 565, 33, 8, 0, 8
5278, 501, 34, 8, 0, 8
5511, 503, 34, 8, 0, 8
5687, 569, 34, 8, 0, 8
5337, 504, 33, 8, 0, 8
5602, 506, 34, 8, 0, 8
5733, 569, 34, 8, 0, 8
5342, 508, 33, 8, 0, 8
5608, 505, 34, 8, 0, 8
5763, 569, 34, 8, 0, 8
5391, 504, 34, 8, 0, 8
5519, 538, 34, 8, 0, 8
5717, 569, 33, 8, 0, 8
5318, 505, 34, 8, 0, 8
5571, 507, 34, 8, 0, 8
5713, 574, 34, 8, 0, 8
5387, 547, 34, 8, 0, 8
5587, 508, 34, 8, 0, 8
5712, 575, 34, 8, 0, 8
5345, 508, 33, 8, 0, 8
5641, 514, 33, 8, 0, 8
5809, 556, 35, 8, 0, 8
5330, 552, 34, 8, 0, 8
5663, 506, 34, 8, 0, 8
5746, 570, 34, 8, 0, 8
5353, 505, 34, 8, 0, 8
5531, 508, 34, 8, 0, 8
5816, 566, 34, 8, 0, 8
5351, 551, 34, 8, 0, 8
5571, 505, 34, 8, 0, 8
5758, 646, 34, 8, 0, 8
5397, 545, 34, 8, 0, 8
5627, 512, 34, 8, 0, 8
5794, 567, 33, 8, 0, 8
5344, 570, 34, 8, 0, 8
5672, 640, 34, 8, 0, 8
5770, 575, 69, 8, 0, 8
5330, 508, 33, 8, 0, 8
5573, 506, 33, 8, 0, 8
5738, 579, 33, 8, 0, 8
5276, 507, 34, 8, 0, 8
5559, 507, 33, 8, 0, 8
5699, 568, 33, 8, 0, 8
5363, 508, 34, 8, 0, 8
5589, 804, 52, 22, 0, 29
5798, 624, 35, 8, 0, 8
5331, 573, 34, 8, 0, 8
5546, 541, 34, 8, 0, 8
5766, 573, 34, 8, 0, 8
5346, 637, 34, 8, 0, 8
5744, 541, 33, 8, 0, 8
5710, 604, 35, 8, 0, 8
5558, 527, 35, 9, 0, 8
5634, 529, 35, 8, 0, 9
5720, 533, 35, 9, 0, 8
5348, 527, 35, 9, 0, 8
5686, 528, 35, 8, 0, 8
5639, 530, 35, 8, 0, 8
5364, 529, 35, 8, 0, 8
5599, 572, 35, 8, 0, 8
5757, 533, 35, 8, 0, 8
5406, 530, 35, 8, 0, 9
5582, 529, 35, 9, 0, 8
5761, 532, 36, 9, 0, 9
5336, 614, 35, 9, 0, 8
5525, 530, 36, 8, 0, 9
5783, 531, 35, 9, 0, 9
5357, 536, 38, 9, 0, 9
5543, 532, 36, 9, 0, 9
5680, 529, 36, 9, 0, 9
5353, 530, 36, 9, 0, 9
5570, 528, 36, 9, 0, 9
5689, 564, 36, 9, 0, 9
5334, 531, 35, 9, 0, 8
5572, 534, 35, 8, 0, 8
5636, 529, 35, 9, 0, 8
5300, 530, 35, 8, 0, 8
5637, 529, 35, 9, 0, 9
