loop time, gbuffer time, shadow time, direct time ,hiz time, ssr time
397534, 370385, 26349, 20, 0, 0
15207, 546, 86, 17, 0, 0
33297, 609, 38, 9, 0, 0
33118, 659, 45, 9, 0, 0
30998, 510, 41, 9, 0, 0
31501, 546, 37, 9, 0, 0
34213, 558, 38, 9, 0, 0
33136, 560, 35, 8, 0, 0
34740, 530, 36, 8, 0, 0
23088, 532, 36, 9, 0, 0
1829, 578, 36, 8, 0, 0
2195, 653, 34, 8, 0, 0
1567, 491, 34, 8, 0, 0
1582, 489, 34, 8, 0, 0
1566, 522, 34, 8, 0, 0
1563, 488, 34, 8, 0, 0
1570, 511, 35, 8, 0, 0
1567, 491, 34, 8, 0, 0
1836, 491, 34, 8, 0, 0
1558, 509, 48, 8, 0, 0
1572, 488, 34, 8, 0, 0
2031, 585, 34, 8, 0, 0
1568, 487, 34, 8, 0, 0
1567, 489, 33, 8, 0, 0
1562, 490, 34, 8, 0, 0
1577, 489, 33, 8, 0, 0
1569, 490, 34, 8, 0, 0
1576, 491, 34, 8, 0, 0
1836, 492, 33, 8, 0, 0
1608, 574, 35, 8, 0, 0
1567, 490, 34, 8, 0, 0
2034, 590, 34, 8, 0, 0
1574, 492, 34, 8, 0, 0
1574, 489, 34, 8, 0, 0
1572, 494, 34, 8, 0, 0
1568, 494, 33, 8, 0, 0
1563, 557, 34, 8, 0, 0
1571, 493, 33, 8, 0, 0
1851, 496, 34, 8, 0, 0
1565, 521, 34, 8, 0, 0
1603, 580, 33, 8, 0, 0
1993, 550, 34, 8, 0, 0
1578, 491, 34, 8, 0, 0
1565, 559, 34, 8, 0, 0
1559, 488, 33, 8, 0, 0
1574, 487, 33, 8, 0, 0
1572, 489, 34, 8, 0, 0
1570, 488, 33, 8, 0, 0
1842, 496, 88, 8, 0, 0
1573, 489, 34, 8, 0, 0
1562, 491, 33, 8, 0, 0
1975, 494, 34, 8, 0, 0
1574, 493, 67, 8, 0, 0
1547, 535, 33, 8, 0, 0
1565, 490, 34, 8, 0, 0
1567, 490, 33, 8, 0, 0
1566, 490, 33, 8, 0, 0
1571, 489, 33, 8, 0, 0
1841, 495, 34, 8, 0, 0
1576, 487, 34, 8, 0, 0
1572, 491, 33, 8, 0, 0
1968, 519, 33, 8, 0, 0
1799, 489, 34, 8, 0, 0
1572, 492, 34, 8, 0, 0
1572, 498, 34, 8, 0, 0
1562, 505, 34, 8, 0, 0
1561, 496, 34, 8, 0, 0
1571, 498, 34, 8, 0, 0
1824, 503, 34, 8, 0, 0
1577, 497, 34, 8, 0, 0
1575, 538, 34, 8, 0, 0
1992, 496, 34, 8, 0, 0
1569, 498, 34, 8, 0, 0
1567, 498, 34, 8, 0, 0
1560, 502, 34, 8, 0, 0
1555, 500, 34, 8, 0, 0
1559, 501, 34, 8, 0, 0
1550, 499, 34, 8, 0, 0
1815, 500, 34, 8, 0, 0
1555, 500, 34, 8, 0, 0
1551, 503, 34, 8, 0, 0
1832, 499, 34, 8, 0, 0
1798, 535, 34, 8, 0, 0
1555, 500, 34, 8, 0, 0
1557, 501, 34, 8, 0, 0
1548, 501, 34, 8, 0, 0
1545, 500, 34, 8, 0, 0
1553, 538, 35, 8, 0, 0
1553, 500, 34, 8, 0, 0
1800, 499, 34, 8, 0, 0
1548, 500, 34, 8, 0, 0
1552, 498, 34, 8, 0, 0
2039, 610, 34, 8, 0, 0
1545, 498, 34, 8, 0, 0
1544, 499, 34, 8, 0, 0
1538, 498, 34, 8, 0, 0
1550, 499, 34, 8, 0, 0
1554, 541, 34, 8, 0, 0
1548, 503, 34, 8, 0, 0
1809, 501, 34, 8, 0, 0
1542, 495, 34, 8, 0, 0
1548, 499, 34, 8, 0, 0
2169, 531, 34, 8, 0, 0
1537, 492, 34, 8, 0, 0
1540, 528, 76, 8, 0, 0
1563, 496, 34, 8, 0, 0
1557, 498, 33, 8, 0, 0
1550, 506, 34, 8, 0, 0
1551, 505, 34, 8, 0, 0
1815, 505, 34, 8, 0, 0
1550, 501, 34, 8, 0, 0
1505, 499, 34, 8, 0, 0
1762, 500, 34, 8, 0, 0
1416, 498, 34, 8, 0, 0
1419, 500, 34, 8, 0, 0
1429, 500, 34, 8, 0, 0
1402, 503, 34, 8, 0, 0
1405, 500, 35, 8, 0, 0
1415, 497, 34, 8, 0, 0
1404, 499, 34, 8, 0, 0
1624, 506, 34, 8, 0, 0
1415, 499, 34, 8, 0, 0
1415, 499, 34, 8, 0, 0
1408, 503, 34, 8, 0, 0
1831, 501, 34, 8, 0, 0
1408, 500, 35, 8, 0, 0
1406, 498, 34, 8, 0, 0
1402, 499, 34, 8, 0, 0
1371, 503, 34, 8, 0, 0
1376, 496, 34, 8, 0, 0
1371, 496, 34, 8, 0, 0
1372, 500, 34, 8, 0, 0
1586, 500, 34, 8, 0, 0
1380, 497, 34, 8, 0, 0
1336, 628, 34, 8, 0, 0
1746, 536, 34, 8, 0, 0
1378, 501, 34, 8, 0, 0
1378, 497, 34, 8, 0, 0
1378, 497, 34, 8, 0, 0
1373, 500, 34, 8, 0, 0
1370, 500, 34, 8, 0, 0
1356, 500, 34, 8, 0, 0
1362, 499, 34, 8, 0, 0
1561, 497, 34, 8, 0, 0
1363, 495, 34, 8, 0, 0
1349, 498, 34, 8, 0, 0
1379, 496, 34, 8, 0, 0
1685, 499, 34, 8, 0, 0
1369, 497, 34, 8, 0, 0
1360, 497, 34, 8, 0, 0
1358, 496, 34, 8, 0, 0
1361, 497, 34, 8, 0, 0
1361, 496, 33, 8, 0, 0
1358, 496, 34, 8, 0, 0
1352, 501, 34, 8, 0, 0
1567, 498, 34, 8, 0, 0
1356, 530, 34, 8, 0, 0
1347, 534, 34, 8, 0, 0
1362, 530, 34, 8, 0, 0
1690, 533, 34, 8, 0, 0
1373, 563, 34, 8, 0, 0
1355, 527, 34, 8, 0, 0
1362, 533, 34, 8, 0, 0
1352, 499, 34, 8, 0, 0
1351, 499, 34, 8, 0, 0
1352, 499, 34, 8, 0, 0
1360, 498, 34, 8, 0, 0
1560, 502, 34, 8, 0, 0
1566, 498, 34, 8, 0, 0
1355, 498, 34, 8, 0, 0
1344, 497, 34, 8, 0, 0
1936, 588, 34, 8, 0, 0
1342, 532, 34, 8, 0, 0
1352, 586, 35, 8, 0, 0
1356, 495, 34, 8, 0, 0
1352, 499, 34, 8, 0, 0
1342, 503, 34, 8, 0, 0
1340, 497, 34, 8, 0, 0
1348, 498, 34, 8, 0, 0
1556, 533, 34, 8, 0, 0
1356, 498, 34, 8, 0, 0
1356, 499, 34, 8, 0, 0
1695, 537, 34, 8, 0, 0
1743, 572, 34, 8, 0, 0
1344, 607, 34, 8, 0, 0
1363, 633, 34, 8, 0, 0
1350, 529, 34, 8, 0, 0
1345, 576, 34, 8, 0, 0
1340, 497, 34, 8, 0, 0
1350, 495, 34, 8, 0, 0
1546, 553, 35, 8, 0, 0
1346, 495, 34, 8, 0, 0
1357, 495, 34, 8, 0, 0
1351, 531, 34, 8, 0, 0
1688, 499, 34, 8, 0, 0
1543, 630, 34, 8, 0, 0
1342, 498, 34, 8, 0, 0
1347, 496, 34, 8, 0, 0
1352, 498, 34, 8, 0, 0
1340, 504, 34, 8, 0, 0
1352, 497, 34, 8, 0, 0
1350, 497, 34, 8, 0, 0
1542, 499, 34, 8, 0, 0
1346, 500, 34, 8, 0, 0
1342, 501, 33, 8, 0, 0
1350, 499, 34, 8, 0, 0
1639, 498, 34, 8, 0, 0
1764, 575, 34, 8, 0, 0
1349, 496, 34, 8, 0, 0
1353, 568, 34, 8, 0, 0
1349, 503, 34, 8, 0, 0
1346, 498, 34, 8, 0, 0
1365, 500, 34, 8, 0, 0
1334, 500, 34, 8, 0, 0
1551, 497, 34, 8, 0, 0
1356, 498, 34, 8, 0, 0
1338, 498, 34, 8, 0, 0
1646, 497, 33, 8, 0, 0
1762, 561, 35, 8, 0, 0
1356, 498, 34, 8, 0, 0
1354, 496, 34, 8, 0, 0
1398, 549, 34, 8, 0, 0
1351, 493, 34, 8, 0, 0
1352, 495, 34, 8, 0, 0
1343, 497, 34, 8, 0, 0
1351, 495, 34, 8, 0, 0
1555, 495, 34, 8, 0, 0
1349, 496, 34, 8, 0, 0
1353, 495, 34, 8, 0, 0
1637, 495, 34, 8, 0, 0
1753, 530, 34, 8, 0, 0
1353, 495, 34, 8, 0, 0
1357, 592, 34, 8, 0, 0
1347, 496, 34, 8, 0, 0
1346, 498, 34, 8, 0, 0
1349, 496, 34, 8, 0, 0
1338, 495, 34, 8, 0, 0
1558, 496, 34, 8, 0, 0
1354, 496, 34, 8, 0, 0
1343, 499, 34, 8, 0, 0
1351, 501, 34, 8, 0, 0
1688, 536, 34, 8, 0, 0
1539, 495, 34, 8, 0, 0
1353, 494, 34, 8, 0, 0
1346, 498, 34, 8, 0, 0
1345, 495, 34, 8, 0, 0
1343, 496, 34, 8, 0, 0
1345, 493, 34, 8, 0, 0
1345, 499, 34, 8, 0, 0
1543, 498, 38, 8, 0, 0
1340, 492, 34, 8, 0, 0
1347, 499, 34, 8, 0, 0
1642, 498, 34, 8, 0, 0
1736, 527, 34, 8, 0, 0
1343, 496, 34, 8, 0, 0
1336, 497, 34, 8, 0, 0
1347, 498, 34, 8, 0, 0
1340, 498, 34, 8, 0, 0
1343, 536, 34, 8, 0, 0
1348, 495, 34, 8, 0, 0
1348, 497, 34, 8, 0, 0
1541, 497, 34, 8, 0, 0
1347, 496, 34, 8, 0, 0
1344, 497, 34, 8, 0, 0
1536, 499, 34, 8, 0, 0
1828, 498, 34, 8, 0, 0
1343, 495, 34, 8, 0, 0
1349, 495, 33, 8, 0, 0
1351, 498, 34, 8, 0, 0
1346, 498, 34, 8, 0, 0
1340, 495, 33, 8, 0, 0
1345, 497, 34, 8, 0, 0
1351, 497, 34, 8, 0, 0
1547, 491, 34, 8, 0, 0
1344, 495, 34, 8, 0, 0
1339, 492, 34, 8, 0, 0
1536, 492, 34, 8, 0, 0
1830, 490, 34, 8, 0, 0
1357, 492, 34, 8, 0, 0
1354, 489, 34, 8, 0, 0
1343, 491, 34, 8, 0, 0
1345, 491, 34, 8, 0, 0
1351, 488, 34, 8, 0, 0
1340, 536, 34, 8, 0, 0
1549, 496, 34, 8, 0, 0
1337, 496, 34, 8, 0, 0
1340, 493, 34, 8, 0, 0
1346, 494, 34, 8, 0, 0
1710, 492, 34, 8, 0, 0
1556, 492, 34, 8, 0, 0
1349, 493, 34, 8, 0, 0
1348, 496, 34, 8, 0, 0
6007, 494, 34, 8, 0, 0
1529, 494, 34, 8, 0, 0
1346, 498, 34, 8, 0, 0
1347, 495, 34, 8, 0, 0
1552, 492, 34, 8, 0, 0
1839, 498, 34, 8, 0, 0
1351, 492, 34, 8, 0, 0
1346, 534, 34, 8, 0, 0
1351, 501, 34, 8, 0, 0
1348, 497, 33, 8, 0, 0
1351, 498, 34, 8, 0, 0
1349, 493, 34, 8, 0, 0
1556, 492, 34, 8, 0, 0
1340, 499, 34, 8, 0, 0
1345, 500, 34, 8, 0, 0
1349, 499, 34, 8, 0, 0
1653, 499, 34, 8, 0, 0
1755, 495, 34, 8, 0, 0
1349, 533, 34, 8, 0, 0
